Symbol,Company Name,ISIN Code,Series
ADANIENT,Adani Enterprises Limited,INE423A01024,EQ
ADANIGREEN,Adani Green Energy Limited,INE364U01010,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,EQ
ADANIPOWER,Adani Power Limited,INE814H01029,EQ
ADDIND,Addi Industries Limited,INE757C01021,EQ
ADFFOODS,ADF Foods Limited,INE982B01027,EQ
ADL,Archidply Decor Limited,INE0CHO01012,EQ
ADOR,Ador Welding Limited,INE045A01017,EQ
ADROITINFO,Adroit Infotech Limited,INE737B01033,EQ
ADSL,Allied Digital Services Limited,INE102I01027,EQ
ADVAIT,Advait Energy Transitions Limited,INE0ALI01010,EQ
ADVANCE,Advance Agrolife Limited,INE1B0W01010,EQ
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,EQ
ADVENTHTL,Advent Hotels International Limited,INE28GN01010,EQ
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,EQ
ADVIKCA,Advik Capital Limited,INE178T01024,EQ
AEGISLOG,Aegis Logistics Limited,INE208C01025,EQ
AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,EQ
AEPL,Artemis Electricals and Projects Limited,INE757T01025,EQ
AEQUS,Aequs Limited,INE947N01017,EQ
AEROENTER,Aeroflex Enterprises Limited,INE065D01027,EQ
AEROFLEX,Aeroflex Industries Limited,INE024001021,EQ
AERONEU,Aeroflex Neu Limited,INE035801013,EQ
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,EQ
AETHER,Aether Industries Limited,INE0BWX01014,EQ
AFCONS,Afcons Infrastructure Limited,INE101I01011,EQ
AFFLE,Affle 3i Limited,INE00WC01027,EQ
AFIL,Akme Fintrade (India) Limited,INE916Y01027,EQ
AFSL,Abans Financial Services Limited,INE00ZE01026,EQ
AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,EQ
AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,EQ
AGI,AGI Greenpac Limited,INE415A01038,EQ
AGIIL,Agi Infra Limited,INE976R01033,EQ
AGL,Allcargo Global Limited,INE1YPB01014,EQ
AGRITECH,Agri-Tech (India) Limited,INE449G01018,EQ
AGROPHOS,Agro Phos India Limited,INE740V01019,EQ
AHCL,Anlon Healthcare Limited,INE0Y8W01025,EQ
AHLADA,Ahlada Engineers Limited,INE00PV01013,EQ
AHLEAST,Asian Hotels (East) Limited,INE926K01017,EQ
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,EQ
AIAENG,AIA Engineering Limited,INE212H01026,EQ
AIIL,Authum Investment & Infrastructure Limited,INE206F01022,EQ
AIRAN,Airan Limited,INE645W01026,EQ
AIROLAM,Airo Lam limited,INE801L01010,EQ
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,EQ
AJAXENGG,Ajax Engineering Limited,INE274Y01021,EQ
AJMERA,Ajmera Realty & Infra India Limited,INE298G01035,EQ
AJOONI,Ajooni Biotech Limited,INE820Y01021,EQ
AKASH,Akash Infra-Projects Limited,INE737W01013,EQ
AKCAPIT,AK Capital Services Limited,INE701G01012,EQ
AKG,Akg Exim Limited,INE00Y801016,EQ
AKI,AKI India Limited,INE642Z01026,EQ
AKSHAR,Akshar Spintex Limited,INE256Z01025,EQ
AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,EQ
ALANKIT,Alankit Limited,INE914E01040,EQ
ALBERTDAVD,Albert David Limited,INE155C01010,EQ
ALEMBICLTD,Alembic Limited,INE426A01027,EQ
ALFREDHE,Alfred Herbert India Limited,INE782D01027,EQ
ALGOQUANT,Algoquant Fintech Limited,INE598D01035,EQ
ALICON,Alicon Castalloy Limited,INE062D01024,EQ
ALIVUS,Alivus Life Sciences Limited,INE03Q201024,EQ
ALKEM,Alkem Laboratories Limited,INE540L01014,EQ
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,EQ
ALLCARGO,Allcargo Logistics Limited,INE418H01029,EQ
ALLDIGI,Alldigi Tech Limited,INE835G01018,EQ
ALLTIME,All Time Plastics Limited,INE0GV601021,EQ
ALMONDZ,Almondz Global Securities Limited,INE326B01035,EQ
ALOKINDS,Alok Industries Limited,INE270A01029,EQ
ALPA,Alpa Laboratories Limited,INE385I01010,EQ
ALPINETEX,Alpine Texworld Limited,INE1JCQ01037,EQ
ALUFLUOR,Alufluoride Limited,INE058F01019,EQ
AMAGI,Amagi Media Labs Limited,INE121R01077,EQ
AMAL,Amal Limited,INE841D01013,EQ
AMARJOTHI,Amarjothi Spinning Mills Limited,INE484D01012,EQ
AMBER,Amber Enterprises India Limited,INE371P01015,EQ
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,EQ
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,EQ
AMBUJACEM,Ambuja Cements Limited,INE079A01024,EQ
AMDIND,AMD Industries Limited,INE005I01014,EQ
AMJLAND,Amj Land Holdings Limited,INE606A01024,EQ
AMNPLST,Amines & Plasticizers Limited,INE275D01022,EQ
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,EQ
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,EQ
ANANTRAJ,Anant Raj Limited,INE242C01024,EQ
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,EQ
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,EQ
ANDREWYU,Andrew Yule & Company Limited,INE449C01025,EQ
ANGELONE,Angel One Limited,INE732I01021,EQ
ANIKINDS,Anik Industries Limited,INE087B01017,EQ
ANMOL,Anmol India Limited,INE02AR01019,EQ
ANNAPURNA,Annapurna Swadisht Limited,INE0MGM01017,EQ
ANSALBU,Ansal Buildwell Limited,INE030C01015,EQ
ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,EQ
ANTGRAPHIC,Antarctica Limited,INE414B01021,EQ
ANTHEM,Anthem Biosciences Limited,INE0CZ201020,EQ
ANUHPHR,Anuh Pharma Limited,INE489G01022,EQ
ANUP,The Anup Engineering Limited,INE294Z01018,EQ
ANURAS,Anupam Rasayan India Limited,INE930P01018,EQ
APARINDS,Apar Industries Limited,INE372A01015,EQ
APCL,Anjani Portland Cement Limited,INE071F01012,EQ
APCOTEXIND,Apcotex Industries Limited,INE116A01032,EQ
APEX,Apex Frozen Foods Limited,INE346W01013,EQ
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,EQ
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,EQ
APOLLO,Apollo Micro Systems Limited,INE713T01028,EQ
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,EQ
APOLLOPIPE,Apollo Pipes Limited,INE126J01016,EQ
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,EQ
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,EQ
APOORVA,Apoorva Leasing Finance and Investment Company Limited,INE217S01014,EQ
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,EQ
AQYLON,Aqylon Nexus Limited,INE416A01051,EQ
ARCHIDPLY,Archidply Industries Limited,INE877I01016,EQ
ARCHIES,Archies Limited,INE731A01020,EQ
ARCL,ARCL Organics Limited,INE372M01010,EQ
ARDEE,Ardee Industries Limited,INE0XNF01022,EQ
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,EQ
ARENTERP,Rajdarshan Industries Limited,INE610C01014,EQ
ARFIN,Arfin India Limited,INE784R01023,EQ
ARIES,Aries Agro Limited,INE298I01015,EQ
ARIHANT,Arihant Foundations & Housing Limited,INE413D01011,EQ
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,EQ
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,EQ
ARIS,Arisinfra Solutions Limited,INE0H9P01028,EQ
ARKADE,Arkade Developers Limited,INE0QRL01017,EQ
ARMANFIN,Arman Financial Services Limited,INE109C01017,EQ
AROGRANITE,Aro Granite Industries Limited,INE210C01013,EQ
ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021,EQ
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,EQ
ARTNIRMAN,Art Nirman Limited,INE738V01013,EQ
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,EQ
ARVIND,Arvind Limited,INE034A01011,EQ
ARVINDFASN,Arvind Fashions Limited,INE955V01021,EQ
ARVSMART,Arvind SmartSpaces Limited,INE034S01021,EQ
ARYAMAN,Aryaman Financial Services Limited,INE032E01017,EQ
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,EQ
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,EQ
ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,EQ
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,EQ
ASHIANA,Ashiana Housing Limited,INE365D01021,EQ
ASHIMASYN,Ashima Limited,INE440A01010,EQ
ASHOKA,Ashoka Buildcon Limited,INE442H01029,EQ
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,EQ
ASHOKLEY,Ashok Leyland Limited,INE208A01029,EQ
ASIANENE,Asian Energy Services Limited,INE276G01015,EQ
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,EQ
ASIANPAINT,Asian Paints Limited,INE021A01026,EQ
ASIANTILES,Asian Granito India Limited,INE022I01019,EQ
ASIANTNE,Asian Tea & Exports Limited,INE822B01017,EQ
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,EQ
ASPINWALL,Aspinwall and Company Limited,INE991I01015,EQ
ASSAMENT,Assam Entrade Limited,INE165G01010,EQ
ASTAR,Asian Star Company Limited,INE194D01017,EQ
ASTEC,Astec LifeSciences Limited,INE563J01010,EQ
ASTERDM,Aster DM Quality Care Limited,INE914M01019,EQ
ASTRAL,Astral Limited,INE006I01046,EQ
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,EQ
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,EQ
ATALREAL,Atal Realtech Limited,INE0ALR01029,EQ
ATAM,Atam Valves Limited,INE09KD01013,EQ
ATGL,Adani Total Gas Limited,INE399L01023,EQ
ATHERENERG,Ather Energy Limited,INE0LEZ01016,EQ
ATL,Allcargo Terminals Limited,INE0NN701020,EQ
ATLANTAA,ATLANTAA LIMITED,INE285H01022,EQ
ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,EQ
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,EQ
ATUL,Atul Limited,INE100A01010,EQ
ATULAUTO,Atul Auto Limited,INE951D01028,EQ
AUBANK,AU Small Finance Bank Limited,INE949L01017,EQ
AURIONPRO,Aurionpro Solutions Limited,INE132H01018,EQ
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,EQ
AURUM,Aurum PropTech Limited,INE898S01029,EQ
AURUS,AURUS GEM CORPORATION LIMITED,INE142K01011,EQ
AUSOMENT,Ausom Enterprise Limited,INE218C01016,EQ
AUSTENG,Austin Engineering Company  Limited,INE759F01012,EQ
AUTOAXLES,Automotive Axles Limited,INE449A01011,EQ
AUTOIND,Autoline Industries Limited,INE718H01014,EQ
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,EQ
AVALON,Avalon Technologies Limited,INE0LCL01028,EQ
AVANCE,Avance Technologies Limited,INE758A01072,EQ
AVANTEL,Avantel Limited,INE005B01027,EQ
AVANTIFEED,Avanti Feeds Limited,INE871C01038,EQ
AVL,Aditya Vision Limited,INE679V01027,EQ
AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,EQ
AVROIND,AVRO INDIA LIMITED,INE652Z01025,EQ
AVTNPL,AVT Natural Products Limited,INE488D01021,EQ
AWFIS,Awfis Space Solutions Limited,INE108V01019,EQ
AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,EQ
AWL,AWL Agri Business Limited,INE699H01024,EQ
AXISBANK,Axis Bank Limited,INE238A01034,EQ
AXISCADES,AXISCADES Technologies Limited,INE555B01013,EQ
AXITA,Axita Cotton Limited,INE02EZ01022,EQ
AXTEL,Axtel Industries Limited,INE767C01012,EQ
AYE,Aye Finance Limited,INE501X01029,EQ
AYMSYNTEX,AYM Syntex Limited,INE193B01039,EQ
AZAD,Azad Engineering Limited,INE02IJ01035,EQ
AZADIND,Azad India Mobility Limited,INE566M01017,EQ
BAGFILMS,B.A.G Films and Media Limited,INE116D01028,EQ
BAIDFIN,Baid Finserv Limited,INE020D01022,EQ
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,EQ
BAJAJELEC,Bajaj Electricals Limited,INE193E01025,EQ
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ
BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,EQ
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,EQ
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,EQ
BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,EQ
BAJAJST,Bajaj Steel Industries Limited,INE704G01024,EQ
BAJEL,Bajel Projects Limited,INE0KQN01018,EQ
BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,EQ
BALAJITELE,Balaji Telefilms Limited,INE794B01026,EQ
BALAMINES,Balaji Amines Limited,INE050E01027,EQ
BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022,EQ
BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011,EQ
BALKRISIND,Balkrishna Industries Limited,INE787D01026,EQ
BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016,EQ
BALPHARMA,Bal Pharma Limited,INE083D01012,EQ
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,EQ
BALUFORGE,Balu Forge Industries Limited,INE011E01029,EQ
BANARBEADS,Banaras Beads Limited,INE655B01011,EQ
BANARISUG,Bannari Amman Sugars Limited,INE459A01010,EQ
BANCOINDIA,Banco Products (I) Limited,INE213C01025,EQ
BANDHANBNK,Bandhan Bank Limited,INE545U01014,EQ
BANG,Bang Overseas Limited,INE863I01016,EQ
BANKA,Banka BioLoo Limited,INE862Y01015,EQ
BANKBARODA,Bank of Baroda,INE028A01039,EQ
BANKINDIA,Bank of India,INE084A01016,EQ
BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025,EQ
BANSWRAS,Banswara Syntex Limited,INE629D01020,EQ
BASF,BASF India Limited,INE373A01013,EQ
BATAINDIA,Bata India Limited,INE176A01028,EQ
BATLIBOI,Batliboi Limited,INE177C01022,EQ
BAYERCROP,Bayer Cropscience Limited,INE462A01022,EQ
BBL,Bharat Bijlee Limited,INE464A01036,EQ
BBOX,Black Box Limited,INE676A01027,EQ
BBTC,The Bombay Burmah Trading Corporation Limited,INE050A01025,EQ
BBTCL,B&B Triplewall Containers Limited,INE01EE01011,EQ
BCG,Brightcom Group Limited,INE425B01027,EQ
BCLIND,Bcl Industries Limited,INE412G01024,EQ
BCONCEPTS,Brand Concepts Limited,INE977Y01011,EQ
BCPL,BCPL Railway Infrastructure Limited,INE00SW01015,EQ
BDL,Bharat Dynamics Limited,INE171Z01026,EQ
BEARDSELL,Beardsell Limited,INE520H01022,EQ
BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01020,EQ
BEDMUTHA,Bedmutha Industries Limited,INE844K01012,EQ
BEEKAY,Beekay Steel Industries Limited,INE213D01015,EQ
BEL,Bharat Electronics Limited,INE263A01024,EQ
BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014,EQ
BELRISE,Belrise Industries Limited,INE894V01022,EQ
BEML,BEML Limited,INE258A01024,EQ
BENARAS,Benares Hotels Limited,INE664D01019,EQ
BENGALASM,Bengal & Assam Company Limited,INE083K01017,EQ
BEPL,Bhansali Engineering Polymers Limited,INE922A01025,EQ
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,EQ
BESTAGRO,Best Agrolife Limited,INE052T01021,EQ
BETA,Beta Drugs Limited,INE351Y01019,EQ
BFINVEST,BF Investment Limited,INE878K01010,EQ
BFUTILITIE,BF Utilities Limited,INE243D01012,EQ
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027,EQ
BHAGYANGR,Bhagyanagar India Limited,INE458B01036,EQ
BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029,EQ
BHARATCOAL,Bharat Coking Coal Limited,INE05XR01022,EQ
BHARATFORG,Bharat Forge Limited,INE465A01025,EQ
BHARATRAS,Bharat Rasayan Limited,INE838B01021,EQ
BHARATSE,Bharat Seats Limited,INE415D01024,EQ
BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,EQ
BHARTIARTL,Bharti Airtel Limited,INE397D01024,EQ
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,EQ
BHEL,Bharat Heavy Electricals Limited,INE257A01026,EQ
BIGBLOC,Bigbloc Construction Limited,INE412U01025,EQ
BIKAJI,Bikaji Foods International Limited,INE00E101023,EQ
BIL,Bhartiya International Limited,INE828A01016,EQ
BIMETAL,Bimetal Bearings Limited,INE469A01019,EQ
BIOCON,Biocon Limited,INE376G01013,EQ
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,EQ
BIRLACORPN,Birla Corporation Limited,INE340A01012,EQ
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,EQ
BIRLANU,BirlaNu Limited,INE557A01011,EQ
BIRLAPREC,Birla Precision Technologies Limited,INE372E01025,EQ
BLACKBUCK,BLACKBUCK LIMITED,INE0UIZ01018,EQ
BLAL,BEML Land Assets Limited,INE0N7W01012,EQ
BLBLIMITED,BLB Limited,INE791A01024,EQ
BLEL,Behari Lal Engineering Limited,INE1EEM01017,EQ
BLIL,Balmer Lawrie Investments Limited,INE525F01025,EQ
BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032,EQ
BLS,BLS International Services Limited,INE153T01027,EQ
BLSE,BLS E-Services Limited,INE0NLT01010,EQ
BLUECHIP,Blue Chip India Limited,INE657B01025,EQ
BLUECLOUDS,Blue Cloud Softech Solutions Limited,INE373T01047,EQ
BLUEDART,Blue Dart Express Limited,INE233B01017,EQ
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,EQ
BLUESTARCO,Blue Star Limited,INE472A01039,EQ
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038,EQ
BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,EQ
BMWVENTLTD,BMW Ventures Limited,INE965W01036,EQ
BNAGROCHEM,BN Agrochem Limited,INE00HZ01011,EQ
BOHRAIND,Bohra Industries Limited,INE802W01023,EQ
BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023,EQ
BONLON,Bonlon Industries Limited,INE0B9A01018,EQ
BORANA,Borana Weaves Limited,INE16SF01016,EQ
BOROLTD,Borosil Limited,INE02PY01013,EQ
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,EQ
BOROSCI,Borosil Scientific Limited,INE02L001032,EQ
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,INE782A01015,EQ
BOSCHLTD,Bosch Limited,INE323A01026,EQ
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,EQ
BPL,BPL Limited,INE110A01019,EQ
BPLPHARMA,Bharat Parenterals Limited,INE365Y01019,EQ
BRAHMINFRA,Brahmaputra Infrastructure Limited,INE320I01017,EQ
BRIGADE,Brigade Enterprises Limited,INE791I01019,EQ
BRIGHOTEL,Brigade Hotel Ventures Limited,INE03NU01014,EQ
BRIGHTBR,Bright Brothers Limited,INE630D01010,EQ
BRITANNIA,Britannia Industries Limited,INE216A01030,EQ
BRNL,Bharat Road Network Limited,INE727S01012,EQ
BSE,BSE Limited,INE118H01025,EQ
BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020,EQ
BSL,BSL Limited,INE594B01012,EQ
BSOFT,BIRLASOFT LIMITED,INE836A01035,EQ
BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023,EQ
BUILDPRO,Shankara Buildpro Limited,INE24OJ01011,EQ
BURNPUR,Burnpur Cement Limited,INE817H01022,EQ
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017,EQ
BVCL,Barak Valley Cements Limited,INE139I01011,EQ
CALSOFT,California Software Company Limited,INE526B01014,EQ
CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032,EQ
CAMPUS,Campus Activewear Limited,INE278Y01022,EQ
CAMS,Computer Age Management Services Limited,INE596I01020,EQ
CANBK,Canara Bank,INE476A01022,EQ
CANFINHOME,Can Fin Homes Limited,INE477A01020,EQ
CANHLIFE,Canara HSBC Life Insurance Company Limited,INE01TY01017,EQ
CANTABIL,Cantabil Retail India Limited,INE068L01024,EQ
CAPACITE,Capacit'e Infraprojects Limited,INE264T01014,EQ
CAPILLARY,Capillary Technologies India Limited,INE0ILV01024,EQ
CAPITALSFB,Capital Small Finance Bank Limited,INE646H01017,EQ
CAPLIPOINT,Caplin Point Laboratories Limited,INE475E01026,EQ
CARBORUNIV,Carborundum Universal Limited,INE120A01034,EQ
CARERATING,CARE Ratings Limited,INE752H01013,EQ
CARRARO,Carraro India Limited,INE0V7W01012,EQ
CARTRADE,Cartrade Tech Limited,INE290S01011,EQ
CARYSIL,CARYSIL LIMITED,INE482D01024,EQ
CASTROLIND,Castrol India Limited,INE172A01027,EQ
CCAVENUE,AvenuesAI Limited,INE483S01020,EQ
CCCL,Consolidated Construction Consortium Limited,INE429I01024,EQ
CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027,EQ
CCL,CCL Products (India) Limited,INE421D01022,EQ
CDSL,Central Depository Services (India) Limited,INE736A01011,EQ
CEATLTD,CEAT Limited,INE482A01020,EQ
CEIGALL,Ceigall India Limited,INE0AG901020,EQ
CEINSYS,Ceinsys Tech Limited,INE016Q01014,EQ
CELEBRITY,Celebrity Fashions Limited,INE185H01016,EQ
CELLO,Cello World Limited,INE0LMW01024,EQ
CEMPRO,Cemindia Projects Limited,INE686A01026,EQ
CENTENKA,Century Enka Limited,INE485A01015,EQ
CENTEXT,Century Extrusions Limited,INE281A01026,EQ
CENTRALBK,Central Bank of India,INE483A01010,EQ
CENTRUM,Centrum Capital Limited,INE660C01027,EQ
CENTUM,Centum Electronics Limited,INE320B01020,EQ
CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,EQ
CERA,Cera Sanitaryware Limited,INE739E01017,EQ
CESC,CESC Limited,INE486A01021,EQ
CEWATER,Concord Enviro Systems Limited,INE037Z01029,EQ
CFEL,Confidence Futuristic Energetech Limited,INE700F01024,EQ
CGCL,Capri Global Capital Limited,INE180C01042,EQ
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,EQ
CGVAK,CG Vak Software & Exports Limited,INE084D01010,EQ
CHALET,Chalet Hotels Limited,INE427F01016,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,EQ
CHEMBOND,Chembond Material Technologies Limited,INE995D01025,EQ
CHEMCRUX,Chemcrux Enterprises Limited,INE298W01016,EQ
CHEMFAB,Chemfab Alkalis Limited,INE783X01023,EQ
CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050,EQ
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,EQ
CHEVIOT,Cheviot Company Limited,INE974B01016,EQ
CHOICEIN,Choice International Limited,INE102B01014,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,EQ
CIEINDIA,CIE Automotive India Limited,INE536H01010,EQ
CIFL,Capital India Finance Limited,INE345H01024,EQ
CINELINE,Cineline India Limited,INE704H01022,EQ
CINEVISTA,Cinevista Limited,INE039B01026,EQ
CIPLA,Cipla Limited,INE059A01026,EQ
CLEAN,Clean Science and Technology Limited,INE227W01023,EQ
CLEANMAX,Clean Max Enviro Energy Solutions Limited,INE647U01026,EQ
CLSEL,Chaman Lal Setia Exports Limited,INE419D01026,EQ
CMLL,Caliber Mining and Logistics Limited,INE11XY01018,EQ
CMPDI,Central Mine Planning & Design Institute Limited,INE05HV01027,EQ
CMRGREEN,CMR Green Technologies Limited,INE00WV01027,EQ
CMSINFO,CMS Info Systems Limited,INE925R01014,EQ
CNL,Creative Newtech Limited,INE985W01018,EQ
COALINDIA,Coal India Limited,INE522F01014,EQ
COASTCORP,Coastal Corporation Limited,INE377E01024,EQ
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,EQ
COCKERILL,John Cockerill India Limited,INE515A01019,EQ
COFORGE,Coforge Limited,INE591G01025,EQ
COHANCE,Cohance Lifesciences Limited,INE03QK01018,EQ
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,EQ
COMFINTE,Comfort Intech Limited,INE819A01049,EQ
COMPEAU,Competent Automobiles Company Limited,INE823B01015,EQ
COMPUSOFT,Compucom Software Limited,INE453B01029,EQ
COMSYN,Commercial Syn Bags Limited,INE073V01015,EQ
CONCOR,Container Corporation of India Limited,INE111A01025,EQ
